House_Price,House_Title,Post_Date,House_Link,House_Long,House_Lat
399900.0,*****PRICE DROP*****HOUSE FOR SALE .... ST ADOLPHE,"Sun, 09 Jun 2019 20:23:56 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/price-drop-house-for-sale-st-adolphe/1439893905,-97.0239307,49.7547465
252500.0,Fantastic Starter Home in Cresentwood,"Sun, 09 Jun 2019 20:21:17 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/fantastic-starter-home-in-cresentwood/1439893349,-97.1502855,49.8626267
299900.0,Just 20 minutes from Winnipeg.  17 Poplar Avenue Garson,"Sun, 09 Jun 2019 20:14:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/just-20-minutes-from-winnipeg-17-poplar-avenue-garson/1439891983,-96.70428,50.076862
325000.0,House for sale in Rosenort - 30 min. South of Winnipeg,"Sun, 09 Jun 2019 19:50:22 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-in-rosenort-30-min-south-of-winnipeg/1415574180,-97.4315326,49.4554389
249900.0,"Homes for Sale in Fort Richmond, Winnipeg, Manitoba $249,900","Sun, 09 Jun 2019 19:18:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-fort-richmond-winnipeg-manitoba-249-900/1363001190,-97.14816,49.7889865
574900.0,"Homes for Sale in Manigotagan, Manitoba $574,900","Sun, 09 Jun 2019 19:18:18 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-manigotagan-manitoba-574-900/1355341769,-96.6702695,50.3484445
324900.0,"19033 Lambert RD St Malo, Manitoba","Sun, 09 Jun 2019 19:18:08 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/19033-lambert-rd-st-malo-manitoba/1420151197,-96.9003257,49.29081619999999
769900.0,"2 WILLOWSIDE BE East St Paul, Manitoba","Sun, 09 Jun 2019 19:18:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/2-willowside-be-east-st-paul-manitoba/1420150974,-97.009968,49.9708163
214900.0,"14 GAGNON BAY La Broquerie, Manitoba","Sun, 09 Jun 2019 19:18:01 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/14-gagnon-bay-la-broquerie-manitoba/1420150906,-96.5169901,49.52687969999999
215000.0,"48 THOMPSON DR Riverton, Manitoba","Sun, 09 Jun 2019 19:18:01 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/48-thompson-dr-riverton-manitoba/1420150928,-96.99368229999999,50.99382869999999
489900.0,"41 Liba WAY Winnipeg, Manitoba","Mon, 10 Jun 2019 05:06:03 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/41-liba-way-winnipeg-manitoba/1439926741,-97.13837439999999,49.895136
259900.0,"1086 BANNERMAN AVE Winnipeg, Manitoba","Mon, 10 Jun 2019 05:24:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/1086-bannerman-ave-winnipeg-manitoba/1439926416,-97.1634552,49.93714019999999
449900.0,"23 Hacault PL Winnipeg, Manitoba","Mon, 10 Jun 2019 05:36:00 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/23-hacault-pl-winnipeg-manitoba/1439926122,-97.06902629999999,49.8313894
279900.0,Character &amp; Charm in INCREDIBLE LOCATION!,"Mon, 10 Jun 2019 09:34:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/character-charm-in-incredible-location/1439966503,-93.77026409999999,51.0038098
374900.0,HOME FIT FOR A STORYBOOK!,"Mon, 10 Jun 2019 09:33:43 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/home-fit-for-a-storybook/1439966386,-97.132792,49.923603
210000.0,326 Church Avenue,"Mon, 10 Jun 2019 09:33:32 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/326-church-avenue/1439966327,-100.6964256,51.1719985
995000.0,"Contractor-renovated home in Grandview, Manitoba","Mon, 10 Jun 2019 09:32:13 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/contractor-renovated-home-in-grandview-manitoba/1439965973,-95.18411719999999,49.764563
399900.0,Beautiful COUNTRY Home with ACREAGE,"Mon, 10 Jun 2019 09:36:56 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-country-home-with-acreage/1439967223,-96.60519649999999,49.8851076
364900.0,"Price reduced! 48097 Mun 48 Road E Richer, MB R0E 1S9","Mon, 10 Jun 2019 09:35:53 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/price-reduced-48097-mun-48-road-e-richer-mb-r0e-1s9/1439966932,-96.57240809999999,50.5863302
419900.0,51064 PR 206 HWY - Dufresne MB,"Mon, 10 Jun 2019 09:47:00 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/51064-pr-206-hwy-dufresne-mb/1439969732,-97.10877119999999,49.8000342
217900.0,7 Seine River Crossing Ste Anne MB,"Mon, 10 Jun 2019 10:01:13 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/7-seine-river-crossing-ste-anne-mb/1439973285,-96.63239879999999,49.6631655
399900.0,38143 Road 39E. Giroux. 2000sqft Family Home For Sale. $399 900,"Mon, 10 Jun 2019 10:08:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/38143-road-39e-giroux-2000sqft-family-home-for-sale-399-900/1439974938,-96.80055879999999,51.2064517
338888.0,RIVER PARK SOUTH! 4 BEDROOM BUNGALOW HOME FOR SALE,"Mon, 10 Jun 2019 10:05:10 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/river-park-south-4-bedroom-bungalow-home-for-sale/1439974266,-97.0988546,49.9275086
525000.0,"40067 Rosewood Road St Genevieve, Manitoba","Mon, 10 Jun 2019 10:10:22 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/40067-rosewood-road-st-genevieve-manitoba/1439975512,-96.55681000000001,49.7518676
349000.0,House for Sale Stonewall Manitoba,"Mon, 10 Jun 2019 10:21:52 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-stonewall-manitoba/1439978289,-97.32893709999999,50.1366709
343900.0,4 bedroom 2 bath  - River Park South.          175 Goldthorpe,"Mon, 10 Jun 2019 10:25:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/4-bedroom-2-bath-river-park-south-175-goldthorpe/1434422229,-97.096245,49.819885
349900.0,WELCOME TO 223 GRASSIE BOULEVARD,"Mon, 10 Jun 2019 10:33:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/welcome-to-223-grassie-boulevard/1439981272,-97.133062,49.92325200000001
