Neighbourhood,Population
Assiniboine South,33405
Downtown East,30715
Downtown West,36135
Fort Garry North,33680
Fort Garry South,52095
Inkster East,14840
Inkster West,17145
Point Douglas North,28260
Point Douglas South,12535
River East East,31255
River East South,14560
River East West,35790
River Heights East,21980
River Heights West,35395
Seven Oaks East,38555
Seven Oaks West,29805
St. Boniface East,43230
St. Boniface West,15290
St. James - Assiniboia East,26995
St. James - Assiniboia West,31490
St. Vital North,27170
St. Vital South,40410
Transcona,36285
